gene_id,pyrEplusFe2,pyrEplusFe3,troRplusFe1,troRplusFe2,troRplusFe3
HVO_RS02165,68,85,440,432,208
HVO_RS02170,108,121,140,150,88
HVO_RS02175,2538,3359,2187,1686,1688
HVO_RS02180,0,3,2,1,2
HVO_RS02185,2,6,7,13,8
HVO_RS02190,1,2,1,1,3
HVO_RS02195,6,12,24,17,9
HVO_RS02200,53,71,89,71,70
HVO_RS02205,4,10,23,13,10
HVO_RS02210,11,13,40,62,22
HVO_RS02215,2,2,0,6,6
HVO_RS02220,0,0,0,0,0
HVO_RS02225,0,4,4,6,3
HVO_RS02230,6,7,6,12,11
HVO_RS02235,0,0,0,0,0
HVO_RS02240,0,0,0,0,0
HVO_RS02245,70,94,159,91,65
HVO_RS02250,6,14,12,27,14
HVO_RS02255,35,46,35,61,37
HVO_RS02260,15,24,94,70,37
HVO_RS02265,51,81,60,36,34
HVO_RS02270,267,340,633,563,301
HVO_RS02275,80,121,163,128,104
HVO_RS02280,1,8,6,5,4
HVO_RS02285,427,601,593,490,463
HVO_RS02290,4,6,11,15,4
HVO_RS02295,97,179,122,148,123
HVO_RS02300,51,90,130,108,75
HVO_RS02305,2,3,8,0,6
HVO_RS02310,222,321,158,152,98
HVO_RS02315,22,25,45,32,18
HVO_RS02320,275,373,293,293,178
HVO_RS02325,61,95,156,107,55
HVO_RS02345,553,821,1166,779,625
HVO_RS02355,3,7,16,17,7
HVO_RS02365,2,2,8,4,4
HVO_RS02370,6,12,24,22,5
HVO_RS02375,5,7,8,10,6
HVO_RS02380,0,0,0,0,0
HVO_RS02385,68,104,178,160,111
HVO_RS02390,27,44,52,33,22
HVO_RS02395,9,17,25,23,14
HVO_RS02400,30,48,103,89,41
HVO_RS02405,98,121,181,119,116
HVO_RS02410,29,30,63,40,34
HVO_RS02415,0,0,0,0,0
HVO_RS02420,18,28,37,29,31
HVO_RS02425,7,1,18,19,7
HVO_RS02430,0,0,1,2,0
HVO_RS02435,219,256,698,604,369
HVO_RS02440,29,29,55,38,31
HVO_RS02445,0,0,0,0,0
