"","Locus","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"27","HVO_RS04855",384.550318907196,2.03286868179685,0.159466788390483,12.7479126049683,3.20204628707716e-37,4.48642263111589e-35
"28","HVO_RS07295",20536.4997026119,1.4247729591734,0.11205130637795,12.7153623213248,4.85852315216923e-37,6.56421181594865e-35
"29","HVO_RS17635",5844.01516019177,-1.204188024275,0.0953582921703359,-12.6280368163892,1.47922767578057e-36,1.92962699913031e-34
"30","HVO_RS18230",2582.10090207398,-1.47116238824503,0.118241044111043,-12.4420618855786,1.54464405315584e-35,1.94779615102951e-33
"31","HVO_RS03850",1360.68079314966,-1.56259904475687,0.12595114121836,-12.4063905228759,2.41287176688156e-35,2.94448190132675e-33
"32","HVO_RS01395",550.661071542072,-1.756712125366,0.142302417049049,-12.3449212022905,5.18850148577804e-35,6.13378160021823e-33
"33","HVO_RS16540",347.887093566851,3.16383961288875,0.259251572694732,12.203743182743,2.96856863259307e-34,3.40305913245442e-32
"34","HVO_RS10295",2917.9368148939,1.26578670583749,0.105364010433073,12.0134636166067,3.01929064506505e-33,3.35940485596503e-31
"35","HVO_RS11055",197.262310817231,-2.18143278221907,0.182410941261627,-11.9588921976468,5.83349463191056e-33,6.30517434071932e-31
"36","HVO_RS14770",5777.39940381841,1.6125468340768,0.134878147652564,11.9555825917079,6.07063389736913e-33,6.37922445381873e-31
"37","HVO_RS12205",4850.13939727036,-1.20759855233605,0.101114711779376,-11.9428570885999,7.07504221371209e-33,7.23375262012779e-31
"38","HVO_RS14200",606.288149221881,1.91359208912364,0.161327790825362,11.861515485544,1.87549416700411e-32,1.86710379836225e-30
"39","HVO_RS16530",369.363722414187,2.9031566594796,0.247657038128042,11.7224880077046,9.775808027458e-32,9.48253378663426e-30
"40","HVO_RS08205",23372.859686214,-1.5926455920132,0.136409924542223,-11.6754378199237,1.70187245377586e-31,1.60954587315852e-29
"41","HVO_RS12895",2164.3173693075,1.57460490263614,0.135224562914504,11.6443704360996,2.45125083988885e-31,2.26172729934134e-29
"42","HVO_RS18150",2391.77657387372,1.37761118130928,0.118891856307827,11.5870945587935,4.79110027153192e-31,4.3154124588584e-29
"43","dapB",1350.17987048558,-1.46541538561922,0.129201974648076,-11.3420509989167,8.12183352605638e-30,7.14532470443518e-28
"44","HVO_RS18945",4302.00582771458,1.08798640986032,0.0964200255154241,11.2838220488365,1.57740472329029e-29,1.35620956095618e-27
"45","HVO_RS18100",738.883235811004,-1.7254748261828,0.15301692947493,-11.2763655113436,1.71693785869089e-29,1.44337242653948e-27
"46","HVO_RS14920",573.030382167993,1.72350155779563,0.153022841975075,11.2630345610518,1.99759342516974e-29,1.64280346248198e-27
"47","HVO_RS16380",25420.5711868042,1.1975518656573,0.106622677981728,11.2316806173498,2.85005255144563e-29,2.29398910683379e-27
"48","HVO_RS11985",44344.7070661131,2.46666628682377,0.219689163052315,11.2279834496724,2.97183678258501e-29,2.34217886427481e-27
"49","HVO_RS03845",2015.76312166344,-1.93982727415555,0.172953635868813,-11.2158802815047,3.40778724110914e-29,2.63095084349304e-27
"50","HVO_RS01920",14169.7926355057,-1.64132886021667,0.147314846404944,-11.1416391509171,7.86581343203019e-29,5.83458278693534e-27
"51","HVO_RS18550",1456.85691372951,-1.44893261503307,0.130040756284866,-11.14214232851,7.8214905569329e-29,5.83458278693534e-27
"52","cas6",9024.23596483563,-1.12353632245392,0.101472322367286,-11.0723426471625,1.70874338966424e-28,1.24311081598073e-26
"53","HVO_RS12850",829.776647001074,-1.82134664943261,0.166505476547106,-10.9386591192233,7.53054012926196e-28,5.37510062433924e-26
"54","HVO_RS04870",10038.4162145376,-1.09567882001238,0.10060695215434,-10.8906869411124,1.27673578490128e-27,8.94424347089172e-26
"55","HVO_RS05725",777.423308622372,-1.32059697607314,0.121959949431535,-10.8281200691583,2.53302262367846e-27,1.74225901552284e-25
"56","HVO_RS13785",9360.52192812211,-1.44901419257352,0.133883895599829,-10.8229162744452,2.68108053991659e-27,1.81116565759009e-25
"57","HVO_RS18145",7461.53454024709,1.18350783155524,0.109670604892897,10.7914771940124,3.77669583239235e-27,2.50653339191934e-25
"58","HVO_RS09095",898.099011809852,-1.38063748986221,0.129090901068444,-10.6950798114749,1.07327214272001e-26,7.0003250274307e-25
"59","HVO_RS04865",1224.57423412735,-1.15854367353036,0.108995077637055,-10.6293210541876,2.17691464809628e-26,1.39580815487258e-24
"60","HVO_RS07025",7832.90294291463,-1.11720584680718,0.108193591401365,-10.3259891120787,5.37618087105758e-25,3.38968203920181e-23
"61","HVO_RS17110",719.03201999991,-1.34785755929448,0.130917783351469,-10.295450509393,7.38729614423344e-25,4.58133464157952e-23
"62","HVO_RS01350",1213.82160661545,-1.52091554027894,0.148529347301608,-10.2398318440768,1.31464660659425e-24,8.0214646979775e-23
"63","HVO_RS00225",21945.7146759684,1.03655126905882,0.101268322172268,10.2356911502448,1.37211919839036e-24,8.23924909128686e-23
