"","variable","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","strain","name","media","condition","techrep","biorep","X","X.1","ID"
"150","60",0.602749716641462,0.238358616882155,0.088726663255492,4.78380896929527,7.81216327908106,19.8409318896823,19.5683943055556,0.0149639273269834,"H26","pyrE","PR","100microMFe",3,1,NA,NA,"pyrE (100microMFe)"
"151","61",0.620095397574718,0.235320527470018,0.0830593467060391,5.91998249786108,8.34520385782841,19.7659274111916,19.4869013888889,0.0145497802411394,"H26","pyrE","PR","100microMFe",1,2,NA,NA,"pyrE (100microMFe)"
"152","62",0.759675723800198,0.214592616120641,0.0808038515696009,11.5365398321928,8.57814531232956,21.4932222172018,21.1643815277778,0.0171003969650842,"H26","pyrE","PR","100microMFe",2,2,NA,NA,"pyrE (100microMFe)"
"153","63",0.803283607122659,0.212433915523039,0.0788228345496645,12.9775934568224,8.79373578126284,21.9002050936731,21.5603756944444,0.0168935123586708,"H26","pyrE","PR","100microMFe",3,2,NA,NA,"pyrE (100microMFe)"
"154","64",0.802816993140831,0.206153952434057,0.0779550110072049,13.6325976715042,8.89163084712902,21.5143577733001,21.1791143055556,0.0173729321128606,"H26","pyrE","PR","100microMFe",1,3,NA,NA,"pyrE (100microMFe)"
"155","65",0.807052711103582,0.206075990526806,0.0779560337755893,13.729677622704,8.89151419061796,21.5768517985918,21.2408651388889,0.0174658373908915,"H26","pyrE","PR","100microMFe",2,3,NA,NA,"pyrE (100microMFe)"
"156","66",0.814329854719874,0.211590060184586,0.0772310252954759,13.5545897141719,8.97498353683709,21.8383950201634,21.4956202777778,0.0153474953803129,"H26","pyrE","PR","100microMFe",3,3,NA,NA,"pyrE (100microMFe)"
"157","67",0.965265683958094,0.262761031862772,0.0333473857126175,29.4897788038866,20.7856527805021,18.1148866767735,17.8326495833333,0.0088341337409309,"SH117","troR","PR","100microMFe",1,1,NA,NA,"troR (100microMFe)"
"158","68",0.886185798925054,0.258420448481299,0.0357865895479615,24.8019875126265,19.3689085580783,17.9807909382569,17.7018911111111,0.00871630312233891,"SH117","troR","PR","100microMFe",2,1,NA,NA,"troR (100microMFe)"
"159","69",0.799836633774572,0.25930333098438,0.039177774364779,18.749347642842,17.6923572560847,18.0712019185519,17.7943940277778,0.00887157595019106,"SH117","troR","PR","100microMFe",3,1,NA,NA,"troR (100microMFe)"
"161","70",5298775.28905316,0.270165676035373,0.0166396562921368,1009.13779838433,41.6563400343489,16.9704515901911,16.7074269444444,0.00971540668958769,"SH117","troR","PR","100microMFe",1,2,NA,NA,"troR (100microMFe)"
"162","71",15775089.7334034,0.25700027344783,0.0171330366507663,1046.66914184765,40.4567616756334,16.3363997907113,16.0801754166667,0.0101976962426993,"SH117","troR","PR","100microMFe",2,2,NA,NA,"troR (100microMFe)"
"163","72",24.8976814312262,0.262581768364566,0.0178313045816453,254.68495407603,38.8724884029763,16.8729070075035,16.6011755555556,0.00719830189799986,"SH117","troR","PR","100microMFe",3,2,NA,NA,"troR (100microMFe)"
"164","73",5517049.1498732,0.258613185644745,0.0181096868677294,931.864565233753,38.2749401258341,16.8319136814557,16.5609173611111,0.00810712617255293,"SH117","troR","PR","100microMFe",1,3,NA,NA,"troR (100microMFe)"
"165","74",6540073.53503804,0.260268453336566,0.0183137191296775,930.422732521852,37.8485208630669,17.0237654324529,16.7481716666667,0.00810684213065721,"SH117","troR","PR","100microMFe",2,3,NA,NA,"troR (100microMFe)"
"166","75",5762438.47135778,0.259172786812459,0.018350920061805,921.868303933607,37.7717944509299,16.9674282199046,16.6944204166667,0.00810439401425387,"SH117","troR","PR","100microMFe",3,3,NA,NA,"troR (100microMFe)"
"167","76",0.752019393982932,0.227752777045628,0.0836302998560031,9.96934888246114,8.28823024374449,22.1462356087911,21.81690125,0.0176904686588435,"AKS338","arsR","PR","100microMFe",1,1,NA,NA,"arsR (100microMFe)"
"168","77",0.757629806214962,0.2260843596982,0.0826893859779044,10.3384550210249,8.38254114917678,22.0936757476899,21.7643952777778,0.0178895438990816,"AKS338","arsR","PR","100microMFe",2,1,NA,NA,"arsR (100microMFe)"
"169","78",0.759111560512521,0.220129850422502,0.0847279449166715,10.5686976916823,8.18085675560341,22.1070343282215,21.778135,0.0184413383020728,"AKS338","arsR","PR","100microMFe",3,1,NA,NA,"arsR (100microMFe)"
"170","79",0.764988189188966,0.228891912000515,0.0650754806835281,13.0781035421074,10.6514338930637,20.2781523368988,19.9713727777778,0.0197782766436851,"AKS338","arsR","PR","100microMFe",1,2,NA,NA,"arsR (100microMFe)"
"172","80",0.591797678131517,0.234780541219138,0.077472637393418,5.41007233804185,8.94699346609354,18.7894556295757,18.5273815277778,0.0164388842744204,"AKS338","arsR","PR","100microMFe",2,2,NA,NA,"arsR (100microMFe)"
"173","81",0.601326650029049,0.234817683432759,0.0746892872071613,5.96087612139989,9.28040963408051,18.7774363349646,18.5133983333333,0.0179469696798543,"AKS338","arsR","PR","100microMFe",3,2,NA,NA,"arsR (100microMFe)"
"174","82",0.710334815457259,0.223957636472107,0.0771614161029117,10.0507162703622,8.98308008805179,20.6154971116035,20.3063891666667,0.0182589621751185,"AKS338","arsR","PR","100microMFe",1,3,NA,NA,"arsR (100microMFe)"
