"","ID","strain","name","condition","time","reps","average","sd","sem","CI95"
"996","idr(100Fe)","SH118","idr","(100Fe)",42.5016666666667,9,0.168388119996478,0.00921748164950508,0.00307249388316836,0.00708518359997574
"997","idr(100Fe)","SH118","idr","(100Fe)",43.0016666666667,9,0.169139114649572,0.00926259238483147,0.00308753079494382,0.00711985878071066
"998","idr(100Fe)","SH118","idr","(100Fe)",43.5016666666667,9,0.169867215650945,0.00930623316480188,0.00310207772160063,0.00715340405373576
"999","idr(100Fe)","SH118","idr","(100Fe)",44.0016666666667,9,0.17057299740655,0.00934845156052471,0.0031161505201749,0.00718585598544194
"1000","idr(100Fe)","SH118","idr","(100Fe)",44.5016666666667,9,0.17125702828831,0.00938929397566898,0.00312976465855633,0.00721725024484675
"1001","idr(100Fe)","SH118","idr","(100Fe)",45.0016666666667,9,0.171919870069511,0.00942880560904228,0.00314293520301409,0.00724762157482925
"1002","idr(100Fe)","SH118","idr","(100Fe)",45.5016666666667,9,0.172562077413878,0.00946703042680506,0.00315567680893502,0.00727700377077204
"1003","idr(100Fe)","SH118","idr","(100Fe)",46.0016666666667,9,0.173184197415845,0.00950401114345069,0.00316800371448356,0.00730542966594126
"1004","idr(100Fe)","SH118","idr","(100Fe)",46.5016666666667,9,0.173786769189514,0.00953978921070975,0.00317992973690325,0.00733293112295759
"1005","idr(100Fe)","SH118","idr","(100Fe)",47.0016666666667,9,0.174370323503831,0.00957440481357368,0.00319146827119123,0.00735953903073986
"1006","idr(100Fe)","SH118","idr","(100Fe)",47.5016666666667,9,0.17493538246152,0.00960789687266871,0.00320263229088957,0.00738528330632974
"1007","idr(100Fe)","SH118","idr","(100Fe)",48.0016666666667,9,0.17548245921935,0.00964030305225228,0.00321343435075076,0.00741019290103837
"1008","idr(100Fe)","SH118","idr","(100Fe)",48.5016666666667,9,0.17601205774736,0.00967165977314622,0.00322388659104874,0.00743429581038766
"1009","idr(100Fe)","SH118","idr","(100Fe)",49.0016666666667,9,0.176524672624714,0.00970200222996303,0.00323400074332101,0.0074576190873516
"1010","idr(100Fe)","SH118","idr","(100Fe)",49.5016666666667,9,0.177020788869922,0.00973136441202616,0.00324378813734205,0.007480188858437
"1011","idr(100Fe)","SH118","idr","(100Fe)",50.0016666666667,9,0.177500881803229,0.00975977912742829,0.00325325970914276,0.00750203034217631
"1012","idr(100Fe)","SH118","idr","(100Fe)",50.5016666666667,9,0.17796541693903,0.00978727802971411,0.0032624260099047,0.00752316786963787
"1013","idr(100Fe)","SH118","idr","(100Fe)",51.0016666666667,9,0.17841484990627,0.0098138916467174,0.00327129721557247,0.00754362490659198
"1014","idr(100Fe)","SH118","idr","(100Fe)",51.5016666666667,9,0.178849626394831,0.00983964941112244,0.00327988313704081,0.00756342407700253
"1015","idr(100Fe)","SH118","idr","(100Fe)",52.0016666666667,9,0.17927018212602,0.0098645796923596,0.00328819323078653,0.00758258718754409
"1016","idr(100Fe)","SH118","idr","(100Fe)",52.5016666666667,9,0.179676942845315,0.00988870982948342,0.00329623660982781,0.00760113525287428
"1017","idr(100Fe)","SH118","idr","(100Fe)",53.0016666666667,9,0.18007032433565,0.00991206616471704,0.00330402205490568,0.00761908852141827
"1018","idr(100Fe)","SH118","idr","(100Fe)",53.5016666666667,9,0.180450732449557,0.00993467407738195,0.00331155802579398,0.00763646650144947
"1019","idr(100Fe)","SH118","idr","(100Fe)",54.0016666666667,9,0.180818563158597,0.00995655801796365,0.00331885267265455,0.00765328798727479
"1020","idr(100Fe)","SH118","idr","(100Fe)",54.5016666666667,9,0.181174202618571,0.00997774154209469,0.0033259138473649,0.00766957108535625
"1021","idr(100Fe)","SH118","idr","(100Fe)",55.0016666666667,9,0.181518027249095,0.00999824734426449,0.00333274911475483,0.00768533324022266
"1022","idr(100Fe)","SH118","idr","(100Fe)",55.5016666666667,9,0.181850403826181,0.0100180972910916,0.00333936576369721,0.00770059126004499
"1023","idr(100Fe)","SH118","idr","(100Fe)",56.0016666666667,9,0.182171689586571,0.0100373124540181,0.00334577081800604,0.00771536134176735
"1024","idr(100Fe)","SH118","idr","(100Fe)",56.5016666666667,9,0.182482232342614,0.0100559131413081,0.00335197104710271,0.00772965909570349
"1025","idr(100Fe)","SH118","idr","(100Fe)",57.0016666666667,9,0.182782370606556,0.0100739189292527,0.00335797297641758,0.00774349956952277
"1026","idr(100Fe)","SH118","idr","(100Fe)",57.5016666666667,9,0.18307243372321,0.0100913486925016,0.00336378289750053,0.00775689727156527
"1027","idr(100Fe)","SH118","idr","(100Fe)",58.0016666666667,9,0.18335274200998,0.0101082206334584,0.00336940687781947,0.00776986619343706
"1028","idr(100Fe)","SH118","idr","(100Fe)",58.5016666666667,9,0.183623606903355,0.0101245523106923,0.00337485077023078,0.00778241983184914
"1029","idr(100Fe)","SH118","idr","(100Fe)",59.0016666666667,9,0.183885331110965,0.0101403606663301,0.00338012022211003,0.00779457120967296
"1030","idr(100Fe)","SH118","idr","(100Fe)",59.5016666666667,9,0.184138208768432,0.0101556620524066,0.00338522068413554,0.00780633289619522
"1031","idr(100Fe)","SH118","idr","(100Fe)",60.0016666666667,9,0.18438252560024,0.0101704722561609,0.0033901574187203,0.00781771702656208
"1032","idr(100Fe)","SH118","idr","(100Fe)",60.5016666666667,9,0.184618559083948,0.010184806524274,0.00339493550809133,0.00782873532041007
"1033","idr(100Fe)","SH118","idr","(100Fe)",61.0016666666667,9,0.184846578617085,0.0101986795860535,0.00339955986201782,0.00783939909968721
"1034","idr(100Fe)","SH118","idr","(100Fe)",61.5016666666667,9,0.185066845686148,0.0102121056755753,0.00340403522519176,0.00784971930567285
"1035","idr(100Fe)","SH118","idr","(100Fe)",62.0016666666667,9,0.185279614037147,0.0102250985528004,0.00340836618426679,0.00785970651520927
"1036","idr(100Fe)","SH118","idr","(100Fe)",62.5016666666667,9,0.185485129847184,0.0102376715236874,0.00341255717456247,0.00786937095616169
"1037","idr(100Fe)","SH118","idr","(100Fe)",63.0016666666667,9,0.185683631896623,0.0102498374593278,0.00341661248644259,0.00787872252212681
"1038","idr(100Fe)","SH118","idr","(100Fe)",63.5016666666667,9,0.185875351741401,0.0102616088141316,0.00342053627137719,0.00788777078641165
"1039","idr(100Fe)","SH118","idr","(100Fe)",64.0016666666667,9,0.186060513885118,0.0102729976430964,0.00342433254769881,0.00789652501530766
"1040","idr(100Fe)","SH118","idr","(100Fe)",64.5016666666667,9,0.186239335950528,0.0102840156181924,0.00342800520606414,0.00790499418068532
"1041","idr(10Fe)","SH118","idr","(10Fe)",0,9,0,0,0,0
"1042","idr(10Fe)","SH118","idr","(10Fe)",0.501666666666667,9,0.0026260200294861,9.78499999817263e-05,3.26166666605754e-05,7.52141681958628e-05
"1043","idr(10Fe)","SH118","idr","(10Fe)",1.00166666666667,9,0.00526535748323287,0.000194206121441028,6.47353738136759e-05,0.000149280039708324
"1044","idr(10Fe)","SH118","idr","(10Fe)",1.50166666666667,9,0.00792480536185952,0.000289651778402757,9.65505928009191e-05,0.000222646066255333
"1045","idr(10Fe)","SH118","idr","(10Fe)",2.00166666666667,9,0.0106024106426442,0.000384475968988331,0.000128158656329444,0.000295534391457907
"1046","idr(10Fe)","SH118","idr","(10Fe)",2.50166666666667,9,0.0132961652251949,0.000478996870842834,0.000159665623614278,0.000368189588304477
"1047","idr(10Fe)","SH118","idr","(10Fe)",3.00166666666667,9,0.016004011626304,0.000573557168641606,0.000191185722880535,0.000440875067554513
"1048","idr(10Fe)","SH118","idr","(10Fe)",3.50166666666667,9,0.0187238489867759,0.000668518485743912,0.000222839495247971,0.00051386879752863
"1049","idr(10Fe)","SH118","idr","(10Fe)",4.00166666666667,9,0.0214535393549205,0.000764255066192352,0.000254751688730784,0.000587458447663432
"1050","idr(10Fe)","SH118","idr","(10Fe)",4.50166666666667,9,0.0241909142084568,0.000861146905772308,0.000287048968590769,0.000661936108576405
"1051","idr(10Fe)","SH118","idr","(10Fe)",5.00166666666667,9,0.0269337811740085,0.000959572572661148,0.000319857524220383,0.000737592773528369
"1052","idr(10Fe)","SH118","idr","(10Fe)",5.50166666666667,9,0.0296799309012259,0.00105990198404483,0.000353300661348276,0.000814712786039491
"1053","idr(10Fe)","SH118","idr","(10Fe)",6.00166666666667,9,0.0324271440468848,0.00116248941140321,0.000387496470467736,0.000893568463275618
"1054","idr(10Fe)","SH118","idr","(10Fe)",6.50166666666667,9,0.0351731983231033,0.00126766697284262,0.000422555657614207,0.000974415093812278
"1055","idr(10Fe)","SH118","idr","(10Fe)",7.00166666666667,9,0.0379158755631201,0.00137573883745627,0.000458579612485424,0.00105748648271171
"1056","idr(10Fe)","SH118","idr","(10Fe)",7.50166666666667,9,0.040652968757887,0.00148697631822608,0.000495658772742026,0.00114299117959333
"1057","idr(10Fe)","SH118","idr","(10Fe)",8.00166666666667,9,0.0433822890170648,0.0016016139721465,0.000533871324048832,0.00123110948092353
"1058","idr(10Fe)","SH118","idr","(10Fe)",8.50166666666667,9,0.0461016724088509,0.00171984676542874,0.000573282255142912,0.00132199125099872
"1059","idr(10Fe)","SH118","idr","(10Fe)",9.00166666666667,9,0.0488089866344141,0.00184182830384471,0.000613942767948238,0.00141575456166733
"1060","idr(10Fe)","SH118","idr","(10Fe)",9.50166666666667,9,0.0515021374945316,0.00196767007829673,0.000655890026098912,0.00151248511242326
"1061","idr(10Fe)","SH118","idr","(10Fe)",10.0016666666667,9,0.05417907510829,0.00209744163665393,0.000699147212217975,0.00161223636249112
"1062","idr(10Fe)","SH118","idr","(10Fe)",10.5016666666667,9,0.0568377998463938,0.00223117156607953,0.000743723855359844,0.00171503028590978
"1063","idr(10Fe)","SH118","idr","(10Fe)",11.0016666666667,9,0.0594763679446715,0.00236884915519453,0.000789616385064842,0.00182085864918449
"1064","idr(10Fe)","SH118","idr","(10Fe)",11.5016666666667,9,0.0620928967667371,0.00251042660102534,0.000836808867008445,0.00192968470769699
"1065","idr(10Fe)","SH118","idr","(10Fe)",12.0016666666667,9,0.0646855696884022,0.00265582162962887,0.000885273876542955,0.00204144522009628
"1066","idr(10Fe)","SH118","idr","(10Fe)",12.5016666666667,9,0.067252640580282,0.00280492040920133,0.000934973469733776,0.00215605268751227
"1067","idr(10Fe)","SH118","idr","(10Fe)",13.0016666666667,9,0.0697924378690453,0.00295758064810397,0.000985860216034658,0.00227339773490919
"1068","idr(10Fe)","SH118","idr","(10Fe)",13.5016666666667,9,0.072303368161858,0.00311363478564911,0.00103787826188304,0.00239335156374079
"1069","idr(10Fe)","SH118","idr","(10Fe)",14.0016666666667,9,0.0747839194227145,0.00327289319919549,0.00109096439973183,0.00251576841714213
