"","ID","strain","name","condition","time","reps","average","sd","CI95","sem"
"162","pyrE100microMFe","H26","pyrE","100microMFe",15.5016666666667,6,0.124899794424333,0.0103374924760446,0.0108485330315178,0.00422026363102825
"163","pyrE100microMFe","H26","pyrE","100microMFe",16.0016666666667,6,0.128262349470579,0.010686268778313,0.0112145513134694,0.00436265096018363
"164","pyrE100microMFe","H26","pyrE","100microMFe",16.5016666666667,6,0.131472989995113,0.0110090621027352,0.0115533021324385,0.00449443078305213
"165","pyrE100microMFe","H26","pyrE","100microMFe",17.0016666666667,6,0.13453080155363,0.0113057755067603,0.0118646837534573,0.0046155635230031
"166","pyrE100microMFe","H26","pyrE","100microMFe",17.5016666666667,6,0.1374360316115,0.0115766547268808,0.012148954061159,0.00472614950153948
"167","pyrE100microMFe","H26","pyrE","100microMFe",18.0016666666667,6,0.140189975460138,0.0118222428604308,0.0124066830012419,0.00482641043721948
"168","pyrE100microMFe","H26","pyrE","100microMFe",18.5016666666667,6,0.142794856484769,0.0120433336378129,0.012638703542679,0.00491667036912306
"169","pyrE100microMFe","H26","pyrE","100microMFe",19.0016666666667,6,0.145253704498718,0.0122409250516727,0.0128460630145209,0.00499733672604164
"170","pyrE100microMFe","H26","pyrE","100microMFe",19.5016666666667,6,0.147570235344945,0.0124161747891373,0.0130299763348987,0.00506888213176582
"171","pyrE100microMFe","H26","pyrE","100microMFe",20.0016666666667,6,0.149748734411261,0.0125703585809057,0.0131917823010747,0.00513182740117249
"172","pyrE100microMFe","H26","pyrE","100microMFe",20.5016666666667,6,0.151793946147019,0.0127048322593825,0.0133329037718962,0.00518672605052304
"173","pyrE100microMFe","H26","pyrE","100microMFe",21.0016666666667,6,0.153710971134054,0.0128209980238694,0.0134548122652846,0.00523415052528526
"174","pyrE100microMFe","H26","pyrE","100microMFe",21.5016666666667,6,0.155505171773652,0.012920275154856,0.0135589972247685,0.0052746802442927
"175","pyrE100microMFe","H26","pyrE","100microMFe",22.0016666666667,6,0.157182087217644,0.0130040752073079,0.0136469399864367,0.00530889147244697
"176","pyrE100microMFe","H26","pyrE","100microMFe",22.5016666666667,6,0.158747357802228,0.0130737815458414,0.0137200923024204,0.00533734896598775
"177","pyrE100microMFe","H26","pyrE","100microMFe",23.0016666666667,6,0.160206658939868,0.0131307329609148,0.013779859147141,0.00536059928383098
"178","pyrE100microMFe","H26","pyrE","100microMFe",23.5016666666667,6,0.161565644185388,0.0131762110205581,0.013827585443764,0.00537916562393398
"179","pyrE100microMFe","H26","pyrE","100microMFe",24.0016666666667,6,0.162829897012577,0.0132114307613168,0.013864546294944,0.00539354402288926
"180","pyrE100microMFe","H26","pyrE","100microMFe",24.5016666666667,6,0.164004890710617,0.0132375342990651,0.0138919402777844,0.00540420074755007
"181","pyrE100microMFe","H26","pyrE","100microMFe",25.0016666666667,6,0.165095955728148,0.0132555869392167,0.0139108853617537,0.00541157070703032
"182","pyrE100microMFe","H26","pyrE","100microMFe",25.5016666666667,6,0.166108253749071,0.0132665753810845,0.0139224170242767,0.00541605671963772
"183","pyrE100microMFe","H26","pyrE","100microMFe",26.0016666666667,6,0.16704675777103,0.0132714076378281,0.0139274881667246,0.00541802948019239
"184","pyrE100microMFe","H26","pyrE","100microMFe",26.5016666666667,6,0.167916237467935,0.013270914327415,0.0139269704691956,0.00541782808705956
"185","pyrE100microMFe","H26","pyrE","100microMFe",27.0016666666667,6,0.168721249146014,0.0132658510279505,0.013921656862282,0.00541576100370908
"186","pyrE100microMFe","H26","pyrE","100microMFe",27.5016666666667,6,0.169466129643412,0.0132569014299803,0.0139122648352094,0.0054121073456374
"187","pyrE100microMFe","H26","pyrE","100microMFe",28.0016666666667,6,0.170154993571979,0.0132446810569861,0.0138994403402564,0.00540711839925367
"188","pyrE100microMFe","H26","pyrE","100microMFe",28.5016666666667,6,0.170791733353139,0.0132297413619163,0.013883762091801,0.00540101929428138
"189","pyrE100microMFe","H26","pyrE","100microMFe",29.0016666666667,6,0.171380021554762,0.0132125740413296,0.0138657460937358,0.00539401076500003
"190","pyrE100microMFe","H26","pyrE","100microMFe",29.5016666666667,6,0.171923315090788,0.0131936154390722,0.0138458502608442,0.00538627094803885
"191","pyrE100microMFe","H26","pyrE","100microMFe",30.0016666666667,6,0.172424860898275,0.0131732509381459,0.0138244790277835,0.00537795717534952
"192","pyrE100microMFe","H26","pyrE","100microMFe",30.5016666666667,6,0.172887702756672,0.0131518192625588,0.0138019878635997,0.00536920773042932
"193","pyrE100microMFe","H26","pyrE","100microMFe",31.0016666666667,6,0.173314688960603,0.0131296166306261,0.01377868763035,0.00536014354389899
"194","pyrE100microMFe","H26","pyrE","100microMFe",31.5016666666667,6,0.173708480600012,0.0131069007176605,0.0137548487416912,0.0053508698112645
"195","pyrE100microMFe","H26","pyrE","100microMFe",32.0016666666667,6,0.174071560239905,0.0130838943995651,0.0137307050915391,0.00534147752123217
"196","pyrE100microMFe","H26","pyrE","100microMFe",32.5016666666667,6,0.174406240826241,0.0130607892598364,0.013706457734443,0.00533204488743699
"197","pyrE100microMFe","H26","pyrE","100microMFe",33.0016666666667,6,0.174714674674806,0.0130377488512528,0.0136822783085176,0.00532263868002116
"198","pyrE100microMFe","H26","pyrE","100microMFe",33.5016666666667,6,0.174998862426439,0.0130149117103657,0.0136583121989573,0.0053133154562949
"199","pyrE100microMFe","H26","pyrE","100microMFe",34.0016666666667,6,0.175260661874987,0.0129923941281418,0.0136346814456473,0.0053041226918466
"200","pyrE100microMFe","H26","pyrE","100microMFe",34.5016666666667,6,0.175501796594191,0.0129702926839912,0.0136114874024625,0.00529509981505534
"201","pyrE100microMFe","H26","pyrE","100microMFe",35.0016666666667,6,0.175723864306619,0.0129486865531948,0.0135888131587645,0.0052862791490942
