"","variable","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","strain","name","media","condition","techrep","biorep","ID"
"48","141",0.673344605647545,0.252103418745206,0.0694013133825729,7.39706699998515,9.98752252337056,34.4122889676991,34.1027333333333,0.0195079154505904,"SH119","sirR","PR","(100Fe)",2,1,"sirR ((100Fe))"
"49","142",0.767039654355155,0.236287079243117,0.0703163647594644,11.5086786972017,9.85755140970438,37.2637748567332,36.9307091666667,0.0290632118782669,"SH119","sirR","PR","(100Fe)",3,1,"sirR ((100Fe))"
"50","143",0.797454925073216,0.215899505744745,0.0691285757480059,14.3340610239157,10.0269269699215,37.1040872690817,36.7679391666667,0.0299160024416397,"SH119","sirR","PR","(100Fe)",1,2,"sirR ((100Fe))"
"51","144",0.779018922620439,0.200661724694049,0.0733429015993716,14.4331777941231,9.45077390510392,36.4861203643687,36.1621833333333,0.0306194026477621,"SH119","sirR","PR","(100Fe)",2,2,"sirR ((100Fe))"
"52","145",0.816153139479828,0.211549797751811,0.0681213811361701,15.4153097141009,10.175178027797,37.2760936916891,36.9349308333333,0.0289346000851081,"SH119","sirR","PR","(100Fe)",3,2,"sirR ((100Fe))"
"53","146",0.834149772803283,0.195259402510973,0.0707849632020537,16.7465500824049,9.79229414277402,37.4889320081175,37.1359225,0.0241806498851202,"SH119","sirR","PR","(100Fe)",1,3,"sirR ((100Fe))"
"54","147",0.815513081703474,0.201923082021742,0.0695263087836063,15.9858926609208,9.96956681128142,37.0168281461025,36.66768,0.0244807239373989,"SH119","sirR","PR","(100Fe)",2,3,"sirR ((100Fe))"
"55","148",0.84127394329535,0.215601536122378,0.0653299414846174,16.3079123416821,10.6099464473446,37.6746720962268,37.3176816666667,0.0232395151857414,"SH119","sirR","PR","(100Fe)",3,3,"sirR ((100Fe))"
"56","149",0.903140807843004,0.261481026916065,0.0414946113134295,21.634050121208,16.7045107453654,35.0570392953804,34.7052225,0.0263989190017107,"SH117","troR","PR","(100Fe)",1,1,"troR ((100Fe))"
"57","15",0.342573424179404,0.276099933052409,0.04877672145851,-29.1934266052056,14.2106144044458,20.8228186245675,20.6601841666667,0.00590963854407723,"SH118","idr","PR","(--Fe)",2,1,"idr ((--Fe))"
